Wavenumber;HDPE;PS;PA6;PET;PMMA;PP
1342.213;93.0857;96.7024;83.3517;99.4865;98.5798;97.4543
1344.1415;93.0324;96.678;83.2401;99.6443;98.5627;97.3556
1346.0699;92.9792;96.6544;83.1334;99.9151;98.5412;97.2173
1347.9984;92.9336;96.6353;83.0314;100.232;98.5152;97.0236
1349.9269;92.8971;96.6208;82.9266;100.533;98.4848;96.7643
1351.8553;92.8668;96.6083;82.81;100.777;98.4495;96.4481
1353.7838;92.837;96.5941;82.6772;100.943;98.408;96.1092
1355.7123;92.8025;96.5748;82.5314;101.03;98.3581;95.8017
1357.6407;92.7599;96.5485;82.3825;101.051;98.2983;95.5789
1359.5692;92.7092;96.5161;82.2421;101.026;98.2291;95.4582
1361.4977;92.654;96.4811;82.1187;100.979;98.1553;95.3848
1363.4261;92.6006;96.4483;82.0124;100.931;98.0849;95.2255
1365.3546;92.5563;96.4219;81.9167;100.892;98.0246;94.8171
1367.2831;92.5288;96.4052;81.8252;100.862;97.9744;94.0517
1369.2115;92.5255;96.4012;81.7416;100.837;97.9257;92.9525
1371.14;92.5542;96.4132;81.6859;100.816;97.8624;91.7098
1373.0685;92.6196;96.4442;81.6914;100.806;97.7677;90.6539
