Wavenumber;HDPE;PS
2005.6056;96.155;98.7581
2007.5341;96.171;98.774
2009.4625;96.1763;98.7719
2011.391;96.1704;98.7522
2013.3195;96.1552;98.7189
2015.2479;96.1359;98.6796
2017.1764;96.1204;98.6445
2019.1049;96.1155;98.6238
2021.0333;96.1232;98.6238
2022.9618;96.1383;98.6428
2024.8903;96.1496;98.6693
2026.8187;96.1447;98.6847
2028.7472;96.1163;98.6722
2030.6757;96.0682;98.6265
2032.6041;96.0148;98.5592
2034.5326;95.9748;98.4941
2036.4611;95.9594;98.4531
2038.3895;95.9649;98.4425
2040.318;95.9741;98.45
2042.2465;95.9664;98.4537
2044.1749;95.931;98.4362
2046.1034;95.8726;98.3956
2048.032;95.8085;98.3447
2049.9604;95.7576;98.3017
2051.8889;95.73;98.2791
2053.8174;95.7244;98.2789
2055.7458;95.7331;98.2949
2057.6743;95.7484;98.3188
2059.6028;95.766;98.3439
2061.5313;95.7846;98.3665
2063.4597;95.8028;98.3847
2065.3882;95.8173;98.3965
2067.3167;95.8231;98.4
2069.2451;95.8172;98.3942
2071.1736;95.8001;98.3801
2073.1021;95.7763;98.3611
2075.0305;95.7521;98.3425
2076.959;95.733;98.3299
2078.8875;95.723;98.3283
2080.8159;95.7238;98.3399
2082.7444;95.7357;98.3637
2084.6729;95.7571;98.3949
2086.6013;95.7845;98.4263
2088.5298;95.8122;98.4502
2090.4583;95.8337;98.4607
2092.3867;95.8436;98.4555
2094.3152;95.8393;98.4362
2096.2437;95.8227;98.4081
2098.1721;95.7995;98.3781
2100.1006;95.7768;98.3533
2102.0291;95.7607;98.3387
2103.9575;95.754;98.3358
2105.886;95.755;98.343
2107.8145;95.7598;98.3567
2109.7429;95.7643;98.3734
2111.6714;95.7677;98.3915
2113.5999;95.7726;98.4118
2115.5283;95.7838;98.4355
2117.4568;95.8052;98.463
2119.3853;95.8373;98.4932
2121.3137;95.8766;98.5242
2123.2422;95.9183;98.555
2125.1707;95.9588;98.5865
2127.0991;95.9975;98.6202
2129.0276;96.0354;98.6561
2130.9561;96.0734;98.6904
2132.8845;96.1085;98.7161
2134.813;96.1349;98.7259
2136.7415;96.1464;98.7173
2138.6699;96.1414;98.6957
2140.5984;96.1256;98.6731
2142.5269;96.1107;98.6629
2144.4553;96.1094;98.6731
2146.3838;96.1295;98.7032
2148.3123;96.1698;98.7441
2150.2407;96.2198;98.7817
2152.1692;96.2615;98.8008
2154.0977;96.2743;98.7891
2156.0261;96.2416;98.7402
2157.9546;96.1588;98.6573
2159.8831;96.0403;98.5552
2161.8115;95.9155;98.4566
2163.74;95.8143;98.382
